// Tabela das aplica‡”es lineares utilizadas no programa "IFS.PAS".
//
// a        b        c        d        e        f         n§apl
//
  0.49640 -0.05986  0.05986  0.49640  0.05000  0.46000    //91
 -0.36870 -0.33773  0.33773 -0.36870  1.03000  0.70000    //92
  0.60000 -0.40000  0.40000  0.60000  0.40000  0.00000    //93
  0.50000  0.00000  0.00000 -0.50000  0.25000  0.50000    //94
  0.08526  0.00000  0.00000  0.08526  0.15750  0.55750    //95
  0.09056  0.00000  0.00000  0.09056  0.27000  0.21000    //96
  0.09056  0.00000  0.00000  0.09056  0.64000  0.21000    //97
  0.09056  0.00000  0.00000  0.09056  0.75250  0.55250    //98
  0.09056  0.00000  0.00000  0.09056  0.45250  0.76250    //99
  0.38200  0.00000  0.00000 -0.38200  0.30900  0.69100    //100
  0.16362 -0.16459  0.16132  0.16694  0.49920  0.33500    //101
